,precision,recall,f1-score,support
Background  Crowd Distractions,0.8236856080722251,0.8536048431480462,0.8383783783783784,1817.0
Incomplete Action or Speech,0.8103448275862069,0.7681307456588355,0.7886733088620871,979.0
Intruding Objects  Overlaps,0.8387096774193549,0.7222222222222222,0.7761194029850746,36.0
Missing Subject TextSlide Only,0.762987012987013,0.7833333333333333,0.7730263157894737,300.0
Partial Frame Cutoff,0.0,0.0,0.0,4.0
Poor Lighting  Subject Blending,0.6634615384615384,0.46938775510204084,0.549800796812749,147.0
Static Subject No Movement,0.4857142857142857,0.34,0.4,50.0
Subject Out of Frame Shifting,0.2727272727272727,0.2,0.23076923076923078,15.0
Subject Turned Away,0.8649155722326454,0.9584199584199584,0.9092702169625246,481.0
Technical Artifacts FlickerTransition,0.47368421052631576,0.3103448275862069,0.375,29.0
accuracy,0.8094867807153966,0.8094867807153966,0.8094867807153966,0.8094867807153966
macro avg,0.5996230005726859,0.5405443685470643,0.5641037650559518,3858.0
weighted avg,0.8047487533014426,0.8094867807153966,0.8055492758128017,3858.0
