,precision,recall,f1-score,support
Background  Crowd Distractions,0.8185053380782918,0.8860759493670886,0.8509513742071881,1817.0
Incomplete Action or Speech,0.8186753528773073,0.7701736465781409,0.7936842105263158,979.0
Intruding Objects  Overlaps,0.875,0.5833333333333334,0.7,36.0
Missing Subject TextSlide Only,0.8252427184466019,0.85,0.8374384236453202,300.0
Partial Frame Cutoff,0.0,0.0,0.0,4.0
Poor Lighting  Subject Blending,0.717948717948718,0.38095238095238093,0.49777777777777776,147.0
Static Subject No Movement,0.5416666666666666,0.26,0.35135135135135137,50.0
Subject Out of Frame Shifting,0.14285714285714285,0.06666666666666667,0.09090909090909091,15.0
Subject Turned Away,0.8886756238003839,0.9625779625779626,0.9241516966067864,481.0
Technical Artifacts FlickerTransition,1.0,0.2413793103448276,0.3888888888888889,29.0
accuracy,0.8242612752721618,0.8242612752721618,0.8242612752721618,0.8242612752721618
macro avg,0.6628571560675113,0.50011592498204,0.543515281391272,3858.0
weighted avg,0.8188174733934053,0.8242612752721618,0.8158440376473559,3858.0
