,precision,recall,f1-score,support
Background  Crowd Distractions,0.8115404976177872,0.8436984039625757,0.8273070696168375,1817.0
Incomplete Action or Speech,0.7887179487179488,0.7854954034729316,0.7871033776867963,979.0
Intruding Objects  Overlaps,0.7586206896551724,0.6111111111111112,0.676923076923077,36.0
Missing Subject TextSlide Only,0.7581699346405228,0.7733333333333333,0.7656765676567657,300.0
Partial Frame Cutoff,0.2,0.25,0.2222222222222222,4.0
Poor Lighting  Subject Blending,0.6373626373626373,0.3945578231292517,0.48739495798319327,147.0
Static Subject No Movement,0.26865671641791045,0.36,0.3076923076923077,50.0
Subject Out of Frame Shifting,0.3333333333333333,0.2,0.25,15.0
Subject Turned Away,0.8936170212765957,0.8731808731808732,0.8832807570977917,481.0
Technical Artifacts FlickerTransition,0.35294117647058826,0.20689655172413793,0.2608695652173913,29.0
accuracy,0.7936754795230689,0.7936754795230689,0.7936754795230689,0.7936754795230689
macro avg,0.5802959955492495,0.5298273499914214,0.5468469902096383,3858.0
weighted avg,0.7917251182091827,0.7936754795230689,0.7910723633923805,3858.0
